# 西夏文
U+17A47 𗩇
U+17A48 𗩈
U+17A49 𗩉
U+17A4A 𗩊
U+17A4B 𗩋
U+17A4C 𗩌
U+17A4D 𗩍
U+17A4E 𗩎
U+17A4F 𗩏
U+17A50 𗩐
U+17A51 𗩑
U+17A52 𗩒
U+17A53 𗩓
U+17A54 𗩔
U+17A55 𗩕
U+17A56 𗩖
U+17A57 𗩗
U+17A58 𗩘
U+17A59 𗩙
U+17A5A 𗩚
U+17A5B 𗩛
U+17A5C 𗩜
U+17A5D 𗩝
U+17A5E 𗩞
U+17A5F 𗩟
U+17A60 𗩠
U+17A61 𗩡
U+17A62 𗩢
U+17A63 𗩣
U+17A64 𗩤
U+17A65 𗩥
U+17A66 𗩦
U+17A67 𗩧
U+17A68 𗩨
U+17A69 𗩩
U+17A6A 𗩪
U+17A6B 𗩫
U+17A6C 𗩬
U+17A6D 𗩭
U+17A6E 𗩮
U+17A6F 𗩯
U+17A70 𗩰
U+17A71 𗩱
U+17A72 𗩲
U+17A73 𗩳
U+17A74 𗩴
U+17A75 𗩵
U+17A76 𗩶
U+17A77 𗩷
U+17A78 𗩸
U+17A79 𗩹
U+17A7A 𗩺
U+17A7B 𗩻
U+17A7C 𗩼
U+17A7D 𗩽
U+17A7E 𗩾
U+17A7F 𗩿
U+17A80 𗪀
U+17A81 𗪁
U+17A82 𗪂
U+17A83 𗪃
U+17A84 𗪄
U+17A85 𗪅
U+17A86 𗪆
U+17A87 𗪇
U+17A88 𗪈
U+17A89 𗪉
U+17A8A 𗪊
U+17A8B 𗪋
U+17A8C 𗪌
U+17A8D 𗪍
U+17A8E 𗪎
U+17A8F 𗪏
U+17A90 𗪐
U+17A91 𗪑
U+17A92 𗪒
U+17A93 𗪓
U+17A94 𗪔
U+17A95 𗪕
U+17A96 𗪖
U+17A97 𗪗
U+17A98 𗪘
U+17A99 𗪙
U+17A9A 𗪚
U+17A9B 𗪛
U+17A9C 𗪜
U+17A9D 𗪝
U+17A9E 𗪞
U+17A9F 𗪟
U+17AA0 𗪠
U+17AA1 𗪡
U+17AA2 𗪢
U+17AA3 𗪣
U+17AA4 𗪤
U+17AA5 𗪥
U+17AA6 𗪦
U+17AA7 𗪧
U+17AA8 𗪨
U+17AA9 𗪩
U+17AAA 𗪪
U+17AAB 𗪫
U+17AAC 𗪬
U+17AAD 𗪭
U+17AAE 𗪮
U+17AAF 𗪯
U+17AB0 𗪰
U+17AB1 𗪱
U+17AB2 𗪲
U+17AB3 𗪳
U+17AB4 𗪴
U+17AB5 𗪵
U+17AB6 𗪶
U+17AB7 𗪷
U+17AB8 𗪸
U+17AB9 𗪹
U+17ABA 𗪺
U+17ABB 𗪻
U+17ABC 𗪼
U+17ABD 𗪽
U+17ABE 𗪾
U+17ABF 𗪿
U+17AC0 𗫀
U+17AC1 𗫁
U+17AC2 𗫂
U+17AC3 𗫃
U+17AC4 𗫄
U+17AC5 𗫅
U+17AC6 𗫆
U+17AC7 𗫇
U+17AC8 𗫈
U+17AC9 𗫉
U+17ACA 𗫊
U+17ACB 𗫋
U+17ACC 𗫌
U+17ACD 𗫍
U+17ACE 𗫎
U+17ACF 𗫏
U+17AD0 𗫐
U+17AD1 𗫑
U+17AD2 𗫒
U+17AD3 𗫓
U+17AD4 𗫔
U+17AD5 𗫕
U+17AD6 𗫖
U+17AD7 𗫗
U+17AD8 𗫘
U+17AD9 𗫙
U+17ADA 𗫚
U+17ADB 𗫛
U+17ADC 𗫜
U+17ADD 𗫝
U+17ADE 𗫞
U+17ADF 𗫟
U+17AE0 𗫠
U+17AE1 𗫡
U+17AE2 𗫢
U+17AE3 𗫣
U+17AE4 𗫤
U+17AE5 𗫥
U+17AE6 𗫦
U+17AE7 𗫧
U+17AE8 𗫨
U+17AE9 𗫩
U+17AEA 𗫪
U+17AEB 𗫫
U+17AEC 𗫬
U+17AED 𗫭
U+17AEE 𗫮
U+17AEF 𗫯
U+17AF0 𗫰
U+17AF1 𗫱
U+17AF2 𗫲
U+17AF3 𗫳
U+17AF4 𗫴
U+17AF5 𗫵
U+17AF6 𗫶
U+17AF7 𗫷
U+17AF8 𗫸
U+17AF9 𗫹
U+17AFA 𗫺
U+17AFB 𗫻
U+17AFC 𗫼
U+17AFD 𗫽
U+17AFE 𗫾
U+17AFF 𗫿
U+17B00 𗬀
U+17B01 𗬁
U+17B02 𗬂
U+17B03 𗬃
U+17B04 𗬄
U+17B05 𗬅
U+17B06 𗬆
U+17B07 𗬇
U+17B08 𗬈
U+17B09 𗬉
U+17B0A 𗬊
U+17B0B 𗬋
U+17B0C 𗬌
U+17B0D 𗬍
U+17B0E 𗬎
U+17B0F 𗬏
U+17B10 𗬐
U+17B11 𗬑
U+17B12 𗬒
U+17B13 𗬓
U+17B14 𗬔
U+17B15 𗬕
U+17B16 𗬖
U+17B17 𗬗
U+17B18 𗬘
U+17B19 𗬙
U+17B1A 𗬚
U+17B1B 𗬛
U+17B1C 𗬜
U+17B1D 𗬝
U+17B1E 𗬞
U+17B1F 𗬟
U+17B20 𗬠
U+17B21 𗬡
U+17B22 𗬢
U+17B23 𗬣
U+17B24 𗬤
U+17B25 𗬥
U+17B26 𗬦
U+17B27 𗬧
U+17B28 𗬨
U+17B29 𗬩
U+17B2A 𗬪
U+17B2B 𗬫
U+17B2C 𗬬
U+17B2D 𗬭
U+17B2E 𗬮
U+17B2F 𗬯
U+17B30 𗬰
U+17B31 𗬱
U+17B32 𗬲
U+17B33 𗬳
U+17B34 𗬴
U+17B35 𗬵
U+17B36 𗬶
U+17B37 𗬷
U+17B38 𗬸
U+17B39 𗬹
U+17B3A 𗬺
U+17B3B 𗬻
U+17B3C 𗬼
U+17B3D 𗬽
U+17B3E 𗬾
U+17B3F 𗬿
U+17B40 𗭀
U+17B41 𗭁
U+17B42 𗭂
U+17B43 𗭃
U+17B44 𗭄
U+17B45 𗭅
U+17B46 𗭆
U+17B47 𗭇
U+17B48 𗭈
U+17B49 𗭉
U+17B4A 𗭊
U+17B4B 𗭋
U+17B4C 𗭌
U+17B4D 𗭍
U+17B4E 𗭎
U+17B4F 𗭏
U+17B50 𗭐
U+17B51 𗭑
U+17B52 𗭒
U+17B53 𗭓
U+17B54 𗭔
U+17B55 𗭕
U+17B56 𗭖
U+17B57 𗭗
U+17B58 𗭘
U+17B59 𗭙
U+17B5A 𗭚
U+17B5B 𗭛
U+17B5C 𗭜
U+17B5D 𗭝
U+17B5E 𗭞
U+17B5F 𗭟
U+17B60 𗭠
U+17B61 𗭡
U+17B62 𗭢
U+17B63 𗭣
U+17B64 𗭤
U+17B65 𗭥
U+17B66 𗭦
U+17B67 𗭧
U+17B68 𗭨
U+17B69 𗭩
U+17B6A 𗭪
U+17B6B 𗭫
U+17B6C 𗭬
U+17B6D 𗭭
U+17B6E 𗭮
U+17B6F 𗭯
U+17B70 𗭰
U+17B71 𗭱
U+17B72 𗭲
U+17B73 𗭳
U+17B74 𗭴
U+17B75 𗭵
U+17B76 𗭶
U+17B77 𗭷
U+17B78 𗭸
U+17B79 𗭹
U+17B7A 𗭺
U+17B7B 𗭻
U+17B7C 𗭼
U+17B7D 𗭽
U+17B7E 𗭾
U+17B7F 𗭿
U+17B80 𗮀
U+17B81 𗮁
U+17B82 𗮂
U+17B83 𗮃
U+17B84 𗮄
U+17B85 𗮅
U+17B86 𗮆
U+17B87 𗮇
U+17B88 𗮈
U+17B89 𗮉
U+17B8A 𗮊
U+17B8B 𗮋
U+17B8C 𗮌
U+17B8D 𗮍
U+17B8E 𗮎
U+17B8F 𗮏
U+17B90 𗮐
U+17B91 𗮑
U+17B92 𗮒
U+17B93 𗮓
U+17B94 𗮔
U+17B95 𗮕
U+17B96 𗮖
U+17B97 𗮗
U+17B98 𗮘
U+17B99 𗮙
U+17B9A 𗮚
U+17B9B 𗮛
U+17B9C 𗮜
U+17B9D 𗮝
U+17B9E 𗮞
U+17B9F 𗮟
U+17BA0 𗮠
U+17BA1 𗮡
U+17BA2 𗮢
U+17BA3 𗮣
U+17BA4 𗮤
U+17BA5 𗮥
U+17BA6 𗮦
U+17BA7 𗮧
U+17BA8 𗮨
U+17BA9 𗮩
U+17BAA 𗮪
U+17BAB 𗮫
U+17BAC 𗮬
U+17BAD 𗮭
U+17BAE 𗮮
U+17BAF 𗮯
U+17BB0 𗮰
U+17BB1 𗮱
U+17BB2 𗮲
U+17BB3 𗮳
U+17BB4 𗮴
U+17BB5 𗮵
U+17BB6 𗮶
U+17BB7 𗮷
U+17BB8 𗮸
U+17BB9 𗮹
U+17BBA 𗮺
U+17BBB 𗮻
U+17BBC 𗮼
U+17BBD 𗮽
U+17BBE 𗮾
U+17BBF 𗮿
U+17BC0 𗯀
U+17BC1 𗯁
U+17BC2 𗯂
U+17BC3 𗯃
U+17BC4 𗯄
U+17BC5 𗯅
U+17BC6 𗯆
U+17BC7 𗯇
U+17BC8 𗯈
U+17BC9 𗯉
U+17BCA 𗯊
U+17BCB 𗯋
U+17BCC 𗯌
U+17BCD 𗯍
U+17BCE 𗯎
U+17BCF 𗯏
U+17BD0 𗯐
U+17BD1 𗯑
U+17BD2 𗯒
U+17BD3 𗯓
U+17BD4 𗯔
U+17BD5 𗯕
U+17BD6 𗯖
U+17BD7 𗯗
U+17BD8 𗯘
U+17BD9 𗯙
U+17BDA 𗯚
U+17BDB 𗯛
U+17BDC 𗯜
U+17BDD 𗯝
U+17BDE 𗯞
U+17BDF 𗯟
U+17BE0 𗯠
U+17BE1 𗯡
U+17BE2 𗯢
U+17BE3 𗯣
U+17BE4 𗯤
U+17BE5 𗯥
U+17BE6 𗯦
U+17BE7 𗯧
U+17BE8 𗯨
U+17BE9 𗯩
U+17BEA 𗯪
U+17BEB 𗯫
U+17BEC 𗯬
U+17BED 𗯭
U+17BEE 𗯮
U+17BEF 𗯯
U+17BF0 𗯰
U+17BF1 𗯱
U+17BF2 𗯲
U+17BF3 𗯳
U+17BF4 𗯴
U+17BF5 𗯵
U+17BF6 𗯶
U+17BF7 𗯷
U+17BF8 𗯸
U+17BF9 𗯹
U+17BFA 𗯺
U+17BFB 𗯻
U+17BFC 𗯼
U+17BFD 𗯽
U+17BFE 𗯾
U+17BFF 𗯿
U+17C00 𗰀
U+17C01 𗰁
U+17C02 𗰂
U+17C03 𗰃
U+17C04 𗰄
U+17C05 𗰅
U+17C06 𗰆
U+17C07 𗰇
U+17C08 𗰈
U+17C09 𗰉
U+17C0A 𗰊
U+17C0B 𗰋
U+17C0C 𗰌
U+17C0D 𗰍
U+17C0E 𗰎
U+17C0F 𗰏
U+17C10 𗰐
U+17C11 𗰑
U+17C12 𗰒
U+17C13 𗰓
U+17C14 𗰔
U+17C15 𗰕
U+17C16 𗰖
U+17C17 𗰗
U+17C18 𗰘
U+17C19 𗰙
U+17C1A 𗰚
U+17C1B 𗰛
U+17C1C 𗰜
U+17C1D 𗰝
U+17C1E 𗰞
U+17C1F 𗰟
U+17C20 𗰠
U+17C21 𗰡
U+17C22 𗰢
U+17C23 𗰣
U+17C24 𗰤
U+17C25 𗰥
U+17C26 𗰦
U+17C27 𗰧
U+17C28 𗰨
U+17C29 𗰩
U+17C2A 𗰪
U+17C2B 𗰫
U+17C2C 𗰬
U+17C2D 𗰭
U+17C2E 𗰮
U+17C2F 𗰯
U+17C30 𗰰
U+17C31 𗰱
U+17C32 𗰲
U+17C33 𗰳
U+17C34 𗰴
U+17C35 𗰵
U+17C36 𗰶
U+17C37 𗰷
U+17C38 𗰸
U+17C39 𗰹
U+17C3A 𗰺
U+17C3B 𗰻
U+17C3C 𗰼
U+17C3D 𗰽
U+17C3E 𗰾
U+17C3F 𗰿
U+17C40 𗱀
U+17C41 𗱁
U+17C42 𗱂
U+17C43 𗱃
U+17C44 𗱄
U+17C45 𗱅
U+17C46 𗱆
U+17C47 𗱇
U+17C48 𗱈
U+17C49 𗱉
U+17C4A 𗱊
U+17C4B 𗱋
U+17C4C 𗱌
U+17C4D 𗱍
U+17C4E 𗱎
U+17C4F 𗱏
U+17C50 𗱐
U+17C51 𗱑
U+17C52 𗱒
U+17C53 𗱓
U+17C54 𗱔
U+17C55 𗱕
U+17C56 𗱖
U+17C57 𗱗
U+17C58 𗱘
U+17C59 𗱙
U+17C5A 𗱚
U+17C5B 𗱛
U+17C5C 𗱜
U+17C5D 𗱝
U+17C5E 𗱞
U+17C5F 𗱟
U+17C60 𗱠
U+17C61 𗱡
U+17C62 𗱢
U+17C63 𗱣
U+17C64 𗱤
U+17C65 𗱥
U+17C66 𗱦
U+17C67 𗱧
U+17C68 𗱨
U+17C69 𗱩
U+17C6A 𗱪
U+17C6B 𗱫
U+17C6C 𗱬
U+17C6D 𗱭
U+17C6E 𗱮
U+17C6F 𗱯
U+17C70 𗱰
U+17C71 𗱱
U+17C72 𗱲
U+17C73 𗱳
U+17C74 𗱴
U+17C75 𗱵
U+17C76 𗱶
U+17C77 𗱷
U+17C78 𗱸
U+17C79 𗱹
U+17C7A 𗱺
U+17C7B 𗱻
U+17C7C 𗱼
U+17C7D 𗱽
U+17C7E 𗱾
U+17C7F 𗱿
U+17C80 𗲀
U+17C81 𗲁
U+17C82 𗲂
U+17C83 𗲃
U+17C84 𗲄
U+17C85 𗲅
U+17C86 𗲆
U+17C87 𗲇
U+17C88 𗲈
U+17C89 𗲉
U+17C8A 𗲊
U+17C8B 𗲋
U+17C8C 𗲌
U+17C8D 𗲍
U+17C8E 𗲎
U+17C8F 𗲏
U+17C90 𗲐
U+17C91 𗲑
U+17C92 𗲒
U+17C93 𗲓
U+17C94 𗲔
U+17C95 𗲕
U+17C96 𗲖
U+17C97 𗲗
U+17C98 𗲘
U+17C99 𗲙
U+17C9A 𗲚
U+17C9B 𗲛
U+17C9C 𗲜
U+17C9D 𗲝
U+17C9E 𗲞
U+17C9F 𗲟
U+17CA0 𗲠
U+17CA1 𗲡
U+17CA2 𗲢
U+17CA3 𗲣
U+17CA4 𗲤
U+17CA5 𗲥
U+17CA6 𗲦
U+17CA7 𗲧
U+17CA8 𗲨
U+17CA9 𗲩
U+17CAA 𗲪
U+17CAB 𗲫
U+17CAC 𗲬
U+17CAD 𗲭
U+17CAE 𗲮
U+17CAF 𗲯
U+17CB0 𗲰
U+17CB1 𗲱
U+17CB2 𗲲
U+17CB3 𗲳
U+17CB4 𗲴
U+17CB5 𗲵
U+17CB6 𗲶
U+17CB7 𗲷
U+17CB8 𗲸
U+17CB9 𗲹
U+17CBA 𗲺
U+17CBB 𗲻
U+17CBC 𗲼
U+17CBD 𗲽
U+17CBE 𗲾
U+17CBF 𗲿
U+17CC0 𗳀
U+17CC1 𗳁
U+17CC2 𗳂
U+17CC3 𗳃
U+17CC4 𗳄
U+17CC5 𗳅
U+17CC6 𗳆
U+17CC7 𗳇
U+17CC8 𗳈
U+17CC9 𗳉
U+17CCA 𗳊
U+17CCB 𗳋
U+17CCC 𗳌
U+17CCD 𗳍
U+17CCE 𗳎
U+17CCF 𗳏
U+17CD0 𗳐
U+17CD1 𗳑
U+17CD2 𗳒
U+17CD3 𗳓
U+17CD4 𗳔
U+17CD5 𗳕
U+17CD6 𗳖
U+17CD7 𗳗
U+17CD8 𗳘
U+17CD9 𗳙
U+17CDA 𗳚
U+17CDB 𗳛
U+17CDC 𗳜
U+17CDD 𗳝
U+17CDE 𗳞
U+17CDF 𗳟
U+17CE0 𗳠
U+17CE1 𗳡
U+17CE2 𗳢
U+17CE3 𗳣
U+17CE4 𗳤
U+17CE5 𗳥
U+17CE6 𗳦
U+17CE7 𗳧
U+17CE8 𗳨
U+17CE9 𗳩
U+17CEA 𗳪
U+17CEB 𗳫
U+17CEC 𗳬
U+17CED 𗳭
U+17CEE 𗳮
U+17CEF 𗳯
U+17CF0 𗳰
U+17CF1 𗳱
U+17CF2 𗳲
U+17CF3 𗳳
U+17CF4 𗳴
U+17CF5 𗳵
U+17CF6 𗳶
U+17CF7 𗳷
U+17CF8 𗳸
U+17CF9 𗳹
U+17CFA 𗳺
U+17CFB 𗳻
U+17CFC 𗳼
U+17CFD 𗳽
U+17CFE 𗳾
U+17CFF 𗳿
U+17D00 𗴀
U+17D01 𗴁
U+17D02 𗴂
U+17D03 𗴃
U+17D04 𗴄
U+17D05 𗴅
U+17D06 𗴆
U+17D07 𗴇
U+17D08 𗴈
U+17D09 𗴉
U+17D0A 𗴊
U+17D0B 𗴋
U+17D0C 𗴌
U+17D0D 𗴍
U+17D0E 𗴎
U+17D0F 𗴏
U+17D10 𗴐
U+17D11 𗴑
U+17D12 𗴒
U+17D13 𗴓
U+17D14 𗴔
U+17D15 𗴕
U+17D16 𗴖
U+17D17 𗴗
U+17D18 𗴘
U+17D19 𗴙
U+17D1A 𗴚
U+17D1B 𗴛
U+17D1C 𗴜
U+17D1D 𗴝
U+17D1E 𗴞
U+17D1F 𗴟
U+17D20 𗴠
U+17D21 𗴡
U+17D22 𗴢
U+17D23 𗴣
U+17D24 𗴤
U+17D25 𗴥
U+17D26 𗴦
U+17D27 𗴧
U+17D28 𗴨
U+17D29 𗴩
U+17D2A 𗴪
U+17D2B 𗴫
U+17D2C 𗴬
U+17D2D 𗴭
U+17D2E 𗴮
U+17D2F 𗴯
U+17D30 𗴰
U+17D31 𗴱
U+17D32 𗴲
U+17D33 𗴳
U+17D34 𗴴
U+17D35 𗴵
U+17D36 𗴶
U+17D37 𗴷
U+17D38 𗴸
U+17D39 𗴹
U+17D3A 𗴺
U+17D3B 𗴻
U+17D3C 𗴼
U+17D3D 𗴽
U+17D3E 𗴾
U+17D3F 𗴿
U+17D40 𗵀
U+17D41 𗵁
U+17D42 𗵂
U+17D43 𗵃
U+17D44 𗵄
U+17D45 𗵅
U+17D46 𗵆
U+17D47 𗵇
U+17D48 𗵈
U+17D49 𗵉
U+17D4A 𗵊
U+17D4B 𗵋
U+17D4C 𗵌
U+17D4D 𗵍
U+17D4E 𗵎
U+17D4F 𗵏
U+17D50 𗵐
U+17D51 𗵑
U+17D52 𗵒
U+17D53 𗵓
U+17D54 𗵔
U+17D55 𗵕
U+17D56 𗵖
U+17D57 𗵗
U+17D58 𗵘
U+17D59 𗵙
U+17D5A 𗵚
U+17D5B 𗵛
U+17D5C 𗵜
U+17D5D 𗵝
U+17D5E 𗵞
U+17D5F 𗵟
U+17D60 𗵠
U+17D61 𗵡
U+17D62 𗵢
U+17D63 𗵣
U+17D64 𗵤
U+17D65 𗵥
U+17D66 𗵦
U+17D67 𗵧
U+17D68 𗵨
U+17D69 𗵩
U+17D6A 𗵪
U+17D6B 𗵫
U+17D6C 𗵬
U+17D6D 𗵭
U+17D6E 𗵮
U+17D6F 𗵯
U+17D70 𗵰
U+17D71 𗵱
U+17D72 𗵲
U+17D73 𗵳
U+17D74 𗵴
U+17D75 𗵵
U+17D76 𗵶
U+17D77 𗵷
U+17D78 𗵸
U+17D79 𗵹
U+17D7A 𗵺
U+17D7B 𗵻
U+17D7C 𗵼
U+17D7D 𗵽
U+17D7E 𗵾
U+17D7F 𗵿
U+17D80 𗶀
U+17D81 𗶁
U+17D82 𗶂
U+17D83 𗶃
U+17D84 𗶄
U+17D85 𗶅
U+17D86 𗶆
U+17D87 𗶇
U+17D88 𗶈
U+17D89 𗶉
U+17D8A 𗶊
U+17D8B 𗶋
U+17D8C 𗶌
U+17D8D 𗶍
U+17D8E 𗶎
U+17D8F 𗶏
U+17D90 𗶐
U+17D91 𗶑
U+17D92 𗶒
U+17D93 𗶓
U+17D94 𗶔
U+17D95 𗶕
U+17D96 𗶖
U+17D97 𗶗
U+17D98 𗶘
U+17D99 𗶙
U+17D9A 𗶚
U+17D9B 𗶛
U+17D9C 𗶜
U+17D9D 𗶝
U+17D9E 𗶞
U+17D9F 𗶟
U+17DA0 𗶠
U+17DA1 𗶡
U+17DA2 𗶢
U+17DA3 𗶣
U+17DA4 𗶤
U+17DA5 𗶥
U+17DA6 𗶦
U+17DA7 𗶧
U+17DA8 𗶨
U+17DA9 𗶩
U+17DAA 𗶪
U+17DAB 𗶫
U+17DAC 𗶬
U+17DAD 𗶭
U+17DAE 𗶮
U+17DAF 𗶯
U+17DB0 𗶰
U+17DB1 𗶱
U+17DB2 𗶲
U+17DB3 𗶳
U+17DB4 𗶴
U+17DB5 𗶵
U+17DB6 𗶶
U+17DB7 𗶷
U+17DB8 𗶸
U+17DB9 𗶹
U+17DBA 𗶺
U+17DBB 𗶻
U+17DBC 𗶼
U+17DBD 𗶽
U+17DBE 𗶾
U+17DBF 𗶿
U+17DC0 𗷀
U+17DC1 𗷁
U+17DC2 𗷂
U+17DC3 𗷃
U+17DC4 𗷄
U+17DC5 𗷅
U+17DC6 𗷆
U+17DC7 𗷇
U+17DC8 𗷈
U+17DC9 𗷉
U+17DCA 𗷊
U+17DCB 𗷋
U+17DCC 𗷌
U+17DCD 𗷍
U+17DCE 𗷎
U+17DCF 𗷏
U+17DD0 𗷐
U+17DD1 𗷑
U+17DD2 𗷒
U+17DD3 𗷓
U+17DD4 𗷔
U+17DD5 𗷕
U+17DD6 𗷖
U+17DD7 𗷗
U+17DD8 𗷘
U+17DD9 𗷙
U+17DDA 𗷚
U+17DDB 𗷛
U+17DDC 𗷜
U+17DDD 𗷝
U+17DDE 𗷞
U+17DDF 𗷟
U+17DE0 𗷠
U+17DE1 𗷡
U+17DE2 𗷢
U+17DE3 𗷣
U+17DE4 𗷤
U+17DE5 𗷥
U+17DE6 𗷦
U+17DE7 𗷧
U+17DE8 𗷨
U+17DE9 𗷩
U+17DEA 𗷪
U+17DEB 𗷫
U+17DEC 𗷬
U+17DED 𗷭
U+17DEE 𗷮
U+17DEF 𗷯
U+17DF0 𗷰
U+17DF1 𗷱
U+17DF2 𗷲
U+17DF3 𗷳
U+17DF4 𗷴
U+17DF5 𗷵
U+17DF6 𗷶
U+17DF7 𗷷
U+17DF8 𗷸
U+17DF9 𗷹
U+17DFA 𗷺
U+17DFB 𗷻
U+17DFC 𗷼
U+17DFD 𗷽
U+17DFE 𗷾
U+17DFF 𗷿
U+17E00 𗸀
U+17E01 𗸁
U+17E02 𗸂
U+17E03 𗸃
U+17E04 𗸄
U+17E05 𗸅
U+17E06 𗸆
U+17E07 𗸇
U+17E08 𗸈
U+17E09 𗸉
U+17E0A 𗸊
U+17E0B 𗸋
U+17E0C 𗸌
U+17E0D 𗸍
U+17E0E 𗸎
U+17E0F 𗸏
U+17E10 𗸐
U+17E11 𗸑
U+17E12 𗸒
U+17E13 𗸓
U+17E14 𗸔
U+17E15 𗸕
U+17E16 𗸖
U+17E17 𗸗
U+17E18 𗸘
U+17E19 𗸙
U+17E1A 𗸚
U+17E1B 𗸛
U+17E1C 𗸜
U+17E1D 𗸝
U+17E1E 𗸞
U+17E1F 𗸟
U+17E20 𗸠
U+17E21 𗸡
U+17E22 𗸢
U+17E23 𗸣
U+17E24 𗸤
U+17E25 𗸥
U+17E26 𗸦
U+17E27 𗸧
U+17E28 𗸨
U+17E29 𗸩
U+17E2A 𗸪
U+17E2B 𗸫
U+17E2C 𗸬
U+17E2D 𗸭
U+17E2E 𗸮
U+17E2F 𗸯
U+17E30 𗸰
U+17E31 𗸱
U+17E32 𗸲
U+17E33 𗸳
U+17E34 𗸴
U+17E35 𗸵
U+17E36 𗸶
U+17E37 𗸷
U+17E38 𗸸
U+17E39 𗸹
U+17E3A 𗸺
U+17E3B 𗸻
U+17E3C 𗸼
U+17E3D 𗸽
U+17E3E 𗸾
U+17E3F 𗸿
U+17E40 𗹀
U+17E41 𗹁
U+17E42 𗹂
U+17E43 𗹃
U+17E44 𗹄
U+17E45 𗹅
U+17E46 𗹆
U+17E47 𗹇
U+17E48 𗹈
U+17E49 𗹉
U+17E4A 𗹊
U+17E4B 𗹋
U+17E4C 𗹌
U+17E4D 𗹍
U+17E4E 𗹎
U+17E4F 𗹏
U+17E50 𗹐
U+17E51 𗹑
U+17E52 𗹒
U+17E53 𗹓
U+17E54 𗹔
U+17E55 𗹕
U+17E56 𗹖
U+17E57 𗹗
U+17E58 𗹘
U+17E59 𗹙
U+17E5A 𗹚
U+17E5B 𗹛
U+17E5C 𗹜
U+17E5D 𗹝
U+17E5E 𗹞
U+17E5F 𗹟
U+17E60 𗹠
U+17E61 𗹡
U+17E62 𗹢
U+17E63 𗹣
U+17E64 𗹤
U+17E65 𗹥
U+17E66 𗹦
U+17E67 𗹧
U+17E68 𗹨
U+17E69 𗹩
U+17E6A 𗹪
U+17E6B 𗹫
U+17E6C 𗹬
U+17E6D 𗹭
U+17E6E 𗹮
U+17E6F 𗹯
U+17E70 𗹰
U+17E71 𗹱
U+17E72 𗹲
U+17E73 𗹳
U+17E74 𗹴
U+17E75 𗹵
U+17E76 𗹶
U+17E77 𗹷
U+17E78 𗹸
U+17E79 𗹹
U+17E7A 𗹺
U+17E7B 𗹻
U+17E7C 𗹼
U+17E7D 𗹽
U+17E7E 𗹾
U+17E7F 𗹿
U+17E80 𗺀
U+17E81 𗺁
U+17E82 𗺂
U+17E83 𗺃
U+17E84 𗺄
U+17E85 𗺅
U+17E86 𗺆
U+17E87 𗺇
U+17E88 𗺈
U+17E89 𗺉
U+17E8A 𗺊
U+17E8B 𗺋
U+17E8C 𗺌
U+17E8D 𗺍
U+17E8E 𗺎
U+17E8F 𗺏
U+17E90 𗺐
U+17E91 𗺑
U+17E92 𗺒
U+17E93 𗺓
U+17E94 𗺔
U+17E95 𗺕
U+17E96 𗺖
U+17E97 𗺗
U+17E98 𗺘
U+17E99 𗺙
U+17E9A 𗺚
U+17E9B 𗺛
U+17E9C 𗺜
U+17E9D 𗺝
U+17E9E 𗺞
U+17E9F 𗺟
U+17EA0 𗺠
U+17EA1 𗺡
U+17EA2 𗺢
U+17EA3 𗺣
U+17EA4 𗺤
U+17EA5 𗺥
U+17EA6 𗺦
U+17EA7 𗺧
U+17EA8 𗺨
U+17EA9 𗺩
U+17EAA 𗺪
U+17EAB 𗺫
U+17EAC 𗺬
U+17EAD 𗺭
U+17EAE 𗺮
U+17EAF 𗺯
U+17EB0 𗺰
U+17EB1 𗺱
U+17EB2 𗺲
U+17EB3 𗺳
U+17EB4 𗺴
U+17EB5 𗺵
U+17EB6 𗺶
U+17EB7 𗺷
U+17EB8 𗺸
U+17EB9 𗺹
U+17EBA 𗺺
U+17EBB 𗺻
U+17EBC 𗺼
U+17EBD 𗺽
U+17EBE 𗺾
U+17EBF 𗺿
U+17EC0 𗻀
U+17EC1 𗻁
U+17EC2 𗻂
U+17EC3 𗻃
U+17EC4 𗻄
U+17EC5 𗻅
U+17EC6 𗻆
U+17EC7 𗻇
U+17EC8 𗻈
U+17EC9 𗻉
U+17ECA 𗻊
U+17ECB 𗻋
U+17ECC 𗻌
U+17ECD 𗻍
U+17ECE 𗻎
U+17ECF 𗻏
U+17ED0 𗻐
U+17ED1 𗻑
U+17ED2 𗻒
U+17ED3 𗻓
U+17ED4 𗻔
U+17ED5 𗻕
U+17ED6 𗻖
U+17ED7 𗻗
U+17ED8 𗻘
U+17ED9 𗻙
U+17EDA 𗻚
U+17EDB 𗻛
U+17EDC 𗻜
U+17EDD 𗻝
U+17EDE 𗻞
U+17EDF 𗻟
U+17EE0 𗻠
U+17EE1 𗻡
U+17EE2 𗻢
U+17EE3 𗻣
U+17EE4 𗻤
U+17EE5 𗻥
U+17EE6 𗻦
U+17EE7 𗻧
U+17EE8 𗻨
U+17EE9 𗻩
U+17EEA 𗻪
U+17EEB 𗻫
U+17EEC 𗻬
U+17EED 𗻭
U+17EEE 𗻮
U+17EEF 𗻯
U+17EF0 𗻰
U+17EF1 𗻱
U+17EF2 𗻲
U+17EF3 𗻳
U+17EF4 𗻴
U+17EF5 𗻵
U+17EF6 𗻶
U+17EF7 𗻷
U+17EF8 𗻸
U+17EF9 𗻹
U+17EFA 𗻺
