# 西夏文
U+1741F 𗐟
U+17420 𗐠
U+17421 𗐡
U+17422 𗐢
U+17423 𗐣
U+17424 𗐤
U+17425 𗐥
U+17426 𗐦
U+17427 𗐧
U+17428 𗐨
U+17429 𗐩
U+1742A 𗐪
U+1742B 𗐫
U+1742C 𗐬
U+1742D 𗐭
U+1742E 𗐮
U+1742F 𗐯
U+17430 𗐰
U+17431 𗐱
U+17432 𗐲
U+17433 𗐳
U+17434 𗐴
U+17435 𗐵
U+17436 𗐶
U+17437 𗐷
U+17438 𗐸
U+17439 𗐹
U+1743A 𗐺
U+1743B 𗐻
U+1743C 𗐼
U+1743D 𗐽
U+1743E 𗐾
U+1743F 𗐿
U+17440 𗑀
U+17441 𗑁
U+17442 𗑂
U+17443 𗑃
U+17444 𗑄
U+17445 𗑅
U+17446 𗑆
U+17447 𗑇
U+17448 𗑈
U+17449 𗑉
U+1744A 𗑊
U+1744B 𗑋
U+1744C 𗑌
U+1744D 𗑍
U+1744E 𗑎
U+1744F 𗑏
U+17450 𗑐
U+17451 𗑑
U+17452 𗑒
U+17453 𗑓
U+17454 𗑔
U+17455 𗑕
U+17456 𗑖
U+17457 𗑗
U+17458 𗑘
U+17459 𗑙
U+1745A 𗑚
U+1745B 𗑛
U+1745C 𗑜
U+1745D 𗑝
U+1745E 𗑞
U+1745F 𗑟
U+17460 𗑠
U+17461 𗑡
U+17462 𗑢
U+17463 𗑣
U+17464 𗑤
U+17465 𗑥
U+17466 𗑦
U+17467 𗑧
U+17468 𗑨
U+17469 𗑩
U+1746A 𗑪
U+1746B 𗑫
U+1746C 𗑬
U+1746D 𗑭
U+1746E 𗑮
U+1746F 𗑯
U+17470 𗑰
U+17471 𗑱
U+17472 𗑲
U+17473 𗑳
U+17474 𗑴
U+17475 𗑵
U+17476 𗑶
U+17477 𗑷
U+17478 𗑸
U+17479 𗑹
U+1747A 𗑺
U+1747B 𗑻
U+1747C 𗑼
U+1747D 𗑽
U+1747E 𗑾
U+1747F 𗑿
U+17480 𗒀
U+17481 𗒁
U+17482 𗒂
U+17483 𗒃
U+17484 𗒄
U+17485 𗒅
U+17486 𗒆
U+17487 𗒇
U+17488 𗒈
U+17489 𗒉
U+1748A 𗒊
U+1748B 𗒋
U+1748C 𗒌
U+1748D 𗒍
U+1748E 𗒎
U+1748F 𗒏
U+17490 𗒐
U+17491 𗒑
U+17492 𗒒
U+17493 𗒓
U+17494 𗒔
U+17495 𗒕
U+17496 𗒖
U+17497 𗒗
U+17498 𗒘
U+17499 𗒙
U+1749A 𗒚
U+1749B 𗒛
U+1749C 𗒜
U+1749D 𗒝
U+1749E 𗒞
U+1749F 𗒟
U+174A0 𗒠
U+174A1 𗒡
U+174A2 𗒢
U+174A3 𗒣
U+174A4 𗒤
U+174A5 𗒥
U+174A6 𗒦
U+174A7 𗒧
U+174A8 𗒨
U+174A9 𗒩
U+174AA 𗒪
U+174AB 𗒫
U+174AC 𗒬
U+174AD 𗒭
U+174AE 𗒮
U+174AF 𗒯
U+174B0 𗒰
U+174B1 𗒱
U+174B2 𗒲
U+174B3 𗒳
U+174B4 𗒴
U+174B5 𗒵
U+174B6 𗒶
U+174B7 𗒷
U+174B8 𗒸
U+174B9 𗒹
U+174BA 𗒺
U+174BB 𗒻
U+174BC 𗒼
U+174BD 𗒽
U+174BE 𗒾
U+174BF 𗒿
U+174C0 𗓀
U+174C1 𗓁
U+174C2 𗓂
U+174C3 𗓃
U+174C4 𗓄
U+174C5 𗓅
U+174C6 𗓆
U+174C7 𗓇
U+174C8 𗓈
U+174C9 𗓉
U+174CA 𗓊
U+174CB 𗓋
U+174CC 𗓌
U+174CD 𗓍
U+174CE 𗓎
U+174CF 𗓏
U+174D0 𗓐
U+174D1 𗓑
U+174D2 𗓒
U+174D3 𗓓
U+174D4 𗓔
U+174D5 𗓕
U+174D6 𗓖
U+174D7 𗓗
U+174D8 𗓘
U+174D9 𗓙
U+174DA 𗓚
U+174DB 𗓛
U+174DC 𗓜
U+174DD 𗓝
U+174DE 𗓞
U+174DF 𗓟
U+174E0 𗓠
U+174E1 𗓡
U+174E2 𗓢
U+174E3 𗓣
U+174E4 𗓤
U+174E5 𗓥
U+174E6 𗓦
U+174E7 𗓧
U+174E8 𗓨
U+174E9 𗓩
U+174EA 𗓪
U+174EB 𗓫
U+174EC 𗓬
U+174ED 𗓭
U+174EE 𗓮
U+174EF 𗓯
U+174F0 𗓰
U+174F1 𗓱
U+174F2 𗓲
U+174F3 𗓳
U+174F4 𗓴
U+174F5 𗓵
U+174F6 𗓶
U+174F7 𗓷
U+174F8 𗓸
U+174F9 𗓹
U+174FA 𗓺
U+174FB 𗓻
U+174FC 𗓼
U+174FD 𗓽
U+174FE 𗓾
U+174FF 𗓿
U+17500 𗔀
U+17501 𗔁
U+17502 𗔂
U+17503 𗔃
U+17504 𗔄
U+17505 𗔅
U+17506 𗔆
U+17507 𗔇
U+17508 𗔈
U+17509 𗔉
U+1750A 𗔊
U+1750B 𗔋
U+1750C 𗔌
U+1750D 𗔍
U+1750E 𗔎
U+1750F 𗔏
U+17510 𗔐
U+17511 𗔑
U+17512 𗔒
U+17513 𗔓
U+17514 𗔔
U+17515 𗔕
U+17516 𗔖
U+17517 𗔗
U+17518 𗔘
U+17519 𗔙
U+1751A 𗔚
U+1751B 𗔛
U+1751C 𗔜
U+1751D 𗔝
U+1751E 𗔞
U+1751F 𗔟
U+17520 𗔠
U+17521 𗔡
U+17522 𗔢
U+17523 𗔣
U+17524 𗔤
U+17525 𗔥
