{%⺄1} ⿹⺄
{㇇下氺} ⿱㇇氺
{㇇下𣎴} ⿱{ユ}{木去一}
{㇋交㇏} ⿻㇋㇏
{㇋交丶} ⿻㇋丶
{㐄交丶} ⿻㐄丶
{㐆去𠃌} ⿸⺁𫜹
{㒸G} ⿱丷豕
{㝵下} ⿱一寸
{㞢下口} ⿱屮𠮛
{㠯T} ⿱{コ}⿰丨{コ}
{㡀下} ⿵巾八
{㯎头} {%木木包1}言{%木木包2}
{䒑下一} ⿱䒑一
{䒑下口} ⿱䒑口
{䒑下巿} ⿱䒑巿
{䒑交巾} ⿻䒑巾
{一下ㅒ} ⿱一{ㅒ}
{一下丗} ⿱一{丗T}[GJK] ⿱一丗[TH]
{一下井} ⿱一井
{一下吕} ⿱𠮛口
{一下夫} ⿱一夫
{一下巿} ⿻二巾
{一下干} ⿱一干
{一下豖} ⿱一豖
{一下𧘇} ⿱一𧘇
{一交儿} ⿻一儿
{一交水} ⿻一水
{一交氺} ⿻一氺
{一交申} ⿻一申
{丄下丅} ⿱丄丅
{丅下䒑} ⿱丅䒑
{丅交口} {%丅交1}口{%丅交2}
{丆下⺝} ⿱丆{⺝无钩}
{丆下且} ⿱丆且
{丆下罒} ⿱丆罒
{上下一} ⿱上一
{上下夕} ⿱上夕
{上下示} ⿱上示
{不去一} ⿰亻丶
{両下} ⿻冂山
{並丷换𠃊𠃎} ⿱䒑{虛下}
{丨下㇀} ⿱丨㇀
{丬几㔾} {%中几1}{北左}{%中几2}㔾
{丮𰀁换丿⺀} ⿻{㇈中丿}⺀
{丱右} ⿰丨𠃎
{串下平} ⿻口{中下平}
{丶下不} ⿱丶不
{丶下亚} ⿱亠业
{丶下兀} ⿱亠儿
{丶下匚} ⿱丶匚
{丶下干} ⿱丶干
{丶下开} ⿱亠廾
{丶人} ⿰丶人
{丶廾⺀丶} ⿻⿶丶廾⿰⺀丶
{丶廾丶} ⿸⿶丶廾丶
{丶廾灬丶} ⿻⿶丶廾⿰{横四点}丶
{丷下正} ⿱䒑止
{丷下𡗗} ⿻丷𡗗
{丷下𤴓} ⿱䒑龰
{丹⺆换冂} ⿻冂亠
{丹丶换丨} ⿻⺆丄
{丿下⺝} ⿱丿⺝
{丿下且} ⿱丿且
{丿下丰} ⿱丿丰[GJ] ⿱丿{丰G}[THK]
{丿下乀} ⿱丿乀
{丿下同} ⿱丿{同无钩}
{丿下𡆪} {%囟框1}卄{%囟框2}
{丿下𡭔} ⿱丿{小无钩}
{丿下𤰔} ⿻千日
{丿下𧘇} ⿶丿𧘇
{丿下𫩏} ⿱丿𫩏
{丿下𰀁} ⿱丿𰀁
{丿交⺀} ⿻丿⺀
{丿交耒} ⿻丿耒[G] ⿻丿{耒G}[THJK]
{丿交飞} ⿺九{飞右}
{乍下一} ⿱乍一
{乎下} ⿻丷𬺰
{乚中彡} ⿺乚彡
{亀下} ⿻日电
{了交三} ⿻了三
{了交二} ⿻了二
{二交〣} ⿻二{〢丨}
{二交乚} ⿻二乚
{亙下去丶} ⿱{亙中去丶}一
{亚丷换𠃊𠃎} ⿱一{虛下}
{亞上} ⿱一{亞中}
{亞下} ⿱{亞中}一
{亞中} ⿰{亞左}{亞右}
{亞右} ⿱𠃑{Γ}
{亞左} ⿱丨{一下𠃑}
{亠下一} ⿱亠一
{亠下丨} ⿱亠丨
{亠下丿} ⿱亠丿
{亠下儿} ⿱亠儿
{亠下厶} ⿱亠厶
{亠下吕} ⿱{享上}口
{亠下土} ⿱亠土
{亠下夫} ⿱亠夫
{亠下糸} ⿱亠糸
{亠下𝍪} ⿱亠{丨丨}
{亠下𠂇} ⿱亠𠂇
{人丄人} {%丄1}人{%丄2}人{%丄3}
{人下个} ⿱人个
{人下二} ⿱人二
{人下亏} ⿱人亏
{人下亓} ⿱人亓
{人下口} ⿱人口
{人下爾} ⿱人爾
{人下百} ⿱亼白
{人丨人} {%中丨1}人{%中丨2}人{%中丨3}
{仌亻仌} ⿲仌亻仌
{令G} ⿱亽龴
{令K} ⿱亼𰆊
{令T} ⿱亼龴
{以左} ⿰𠄌丶
{伞下} ⿻丷十
{余无钩} ⿱人{余下无钩}
{免⺈换丿} ⿻{呂下}{冘下}
{免下} ⿻口{冘下}
{兜上} ⿻白{𠑼上}[GTHV] ⿻白{𠒂上}[JK]
{关G} ⿱䒑大
{关K} ⿱八天
{兼丶换丿} ⿱{丿丿}⿻一{兼下}
{冂交丄} ⿻冂丄
{冂交𰀁} ⿻冂{𰀁先丨}
{冉上平} ⿻冂土
{冉冂换⺆} ⿻⺆{土先丨}
{冉土换丄} ⿻冂丄
{冊冂换⺆} ⿻⺆{卄先丨}
{冡下} ⿱一豕
{冫白く} ⿻白{冫く}
{冫𝍪く} ⿻{丨丨}{冫く}
{凵中⚋} ⿶{⚋}凵
{凵中⚏} ⿶{⚏}凵
{凵中𰀁} ⿶𰀁凵
{凵交䶹} ⿻凵䶹
{凵交人} ⿻凵人
{凵交出} ⿱{凵交屮}凵
{凵交屮} ⿻凵屮
{凵交巾} ⿻凵巾
{凵交龶} ⿻凵龶
{凵交𠂤} ⿱䶹㠯[GJK] ⿱䶹{㠯G}[TH]
{凹上} ⿲⿰丨㇅丨𠃍
{击去一} ⿱十凵
{刀左交⺀} ⿻刀⺀
{刃J} ⿻刀丶
{刖J} ⿰{冂中⺀}刂
{制左} ⿻{𠂉下一}巾
{勿交㇏} ⿻勹⿻𰀪㇏
{匁㇏换丶} ⿹勹㐅
{匁去㇏} ⿹勹丿
{匕先乚} 匕[GJK] {匕G}[TH]
{匕白匕} {%中白1}匕{%中白2}匕 ⿲匕白匕
{北中矢} {%北1}矢{%北2} ⿲{北左}矢匕
{匚中二} ⿷匚二
{匚交人} ⿻匚人
{匹T} {%匸1}儿{%匸2}
{十交𫡃} ⿻十𫡃
{十先丨} 十
{千交冂} {%千下交1}冂{%千下交2}
{千交口} {%千下交1}口{%千下交2}
{卄下両} ⿱龷{両下}
{卄交口} ⿻卄口
{卄交木} ⿻卄木
{卄先丨} 卄
{卌下一} ⿱卌一[GJ] ⿱{一交𝍬}一[THK]
{单下} ⿻日十
{卯头𠁁} ⿱⿰⿱{丿下𠃊}{亞左}⿱{コ}{亞右}一
{印左G} ⿷{卬左}一
{印左} {印左G}[GTHVU] {⺽左}[JK]
{卿中K} ⿱丿{⻞下}
{及G} ⿻⿹丿㇋㇏
{及T} ⿸⿱丿㇇又
{反⻕} ⻕
{反匕} 匕
{反夬} ⿻{反ユ}人
{反巴} 巴
{反弓} ⿳{一下𠃑}一㇂ 弓
{反撇} ㇏
{反犭} 犭
{反臣} {%コ1}⿳丨匚丨{%コ2}
{反Ｐ先丨} ⿵冂一
{反Ｐ先𠃊} ⿹𠃊𠃍
{反𠂤} 𠂤
{反𦣞} {%コ1}{𦣞中}{%コ2}
{反𬼉下} ⿶{卝左}𠃎
{叚左} ⿸{Ｐ先𠃍}二
{口丄口} {%丄1}口{%丄2}口{%丄3}
{口下𢆉} ⿱口𢆉
{口丨口} {%中丨1}口{%中丨2}口{%中丨3}
{口交土} ⿻口土
{口交山} ⿱中凵
{口交𡭔} ⿻口{木去一}
{吕交丄} ⿻口𠀐
{吕交𡭔} ⿻吕{木去一}
{哥上G} ⿹丅口
{啇古换口} ⿱{立上}冋
{啬上} ⿱十䒑
{囗中凵} {%囗1}凵{%囗2}
{囗交十} ⿻{衰中}丨
{囗交卄} {%囗交1}{卄先丨}{%囗交2}
{土中八} {%土1}八{%土2}
{土中口} {%土交1}口{%土交2}
{土先丨} 土
{土几㔾} {%中几1}土{%中几2}㔾
{土白匕} {%中白1}土{%中白2}匕 ⿲土白匕
{土矢匕} ⿲土矢匕
{士下㓁} ⿱{士下冖}八[G] ⿱{士下冖}儿[THJK]
{壬G} ⿱丿士
{壬T} ⿱一士
{夊中丶} ⿴夊丶
{夕下一} ⿱{⺈中丶}一
{大交𠃊} ⿻{旡去儿}人
{太下龴} ⿱太龴
{宀下儿} ⿱宀儿
{寿寸换又} ⿻三夊 {%寿上}又
{小丶} ⿰小丶
{少丶下沉} ⿸𣥂丶
{尨T} ⿺尤彡
{尸交𝍪} {%尸1}{丨丨}{%尸2}
{展下} ⿱龷{𧘇下}
{屮下兀} ⿱屮兀
{屮屮} ⿰屮屮
{屮穿儿} ⿻屮儿
