{%⺊下厂} ⿸{⺊下厂}
{祭上𱼀换𠂈} {祭上𱼀换𠂈}
{穴头T} 穴
{立上} {立上}
{立下电} ⿻音乚
{糸言糸} 龻
{糹言糸} 龻
{羊连水} ⿻羊{㇇く}
{羊连氺} ⿻羊{冫く}
{耒G} ⿻三{木去一}
{耒T} ⿻{丿下二}{木去一}
{耳下平} {耳下平}
{肀下平} {肀下平}
{肀穿八} ⿻{反𰀂}{小无钩}
{臣中} {臣中}
{臼⚋换⚏} ⿶臼{⚋}
{與中} {與中G}[GJKVU] {與中T}[TH]
{舌G} {舌G}
{艮Ｋ换匕} ⿻{叚左}一
{艹G} 艹
{衰中} ⿻口一
{言穿絲} 龻
{貝二换三} ⿴貝一
{车旁} {车旁}
{辣左} {辣左}
{辶G} 辶
{邦左G} {邦左}
{邦左T} {邦左}
{酉儿换ㅛ} ⿴{酉儿换𝍪}一
{重去丿} ⿻十里
{镸去𠫔} {镸去𠫔}
{隹去亻} ⿻主一
{雋下} ⿲ㄇ一冂
{雨点换⚏} ⿵⿻冂丅{⚏}
{非G} 非
{非右} {非右}
{革下一} ⿱革一
{馬王换三} ⿺二{焉下}
{馬王换二} ⿺一{焉下}
{麻G} {麻G}
{麻T} {麻T}
{齿下} {齿下}
{龱} ⿴口㐅
{＃} {＃}
{＃先丨} {＃先丨}
{Ｐ先丨} {Ｐ}
{Ｐ先𠃍} {Ｐ}
{𝍫中＃} ⿻{𝍫}{＃}
{𝍫交一} {𝍫交一}
{𝍯} {𝍯}
{𝍰交冖} ⿱一⿻冖{𝍫}
{𠀍下一} ⿱{带上}二
{𠁁贯穿} ⿱⿻⿲匚{丨丨}{コ}⿰匚{コ}一
{𠂇先丿} {𠂇先丿}
{𠂉下⺀} ⿱{⺮半}丶
{𠂉下一} {𠂉下一}
{𠂉下丨} {𠂉下丨}
{𠂉下二} ⿱{𠂉下一}一
{𠂉下正} ⿱{𠂉下一}止
{𠂢下} ⿸{氏去𫠠}{𰀠右}
{𠂩左G} {𠂩左G}
{𠃋交十} 牜
{𠃋交十钩} 牜
{𠃍下𠃌} {𠃍下𠃌}
{𠃍中二} {𠃍中二}
{𠃑上一} {与上}
{𠃛无钩} ⿻𰀄丨
{𠄎中㐅} ⿻乃丶
{𠄟交亅} {𠄟交亅}
{𠅙上} {𠅙上}
{𠇎下} ⿲一{丿丨}一
{𠌆下} ⿲匚{丿丨}{コ}
{𠒅上} ⿶⿰{コ}匚凵
{𠔉K} 𠔉
{𠔼交一} {𠔼交一}
{𠬝卩换Ｐ} {𠬝卩换Ｐ}
{𡕒钩} {𡕒钩}
{𡛹上} {𡛹上}
{𡫤中} ⿻{衰中}{𡝤上}
{𡭔下冖} {𡭔下冖}
{𡭔下冖口} {𡭔下冖口}
{𡴀歪} ⿻䶹二
{𡷊上} ⿷{鸟上}一
{𡸭上} ⿱一{亞下}
{𣶒中断} ⿰⿷{𣶒左}一⿹{𣶒右}一
{𣶒去一} ⿰{𣶒左}{𣶒右}
{𣷻右} ⿳一⿵ㄇㄇ三 {%二1}⿴巳ㄇ{%二2} {%二1}⿴ㄇ巳{%二2}
{𤓯八换ハ} ⿻一{小无钩}
{𥉢右上} ⿱一{亞下}
{𦈢G} ⿻{𠂉下一}止
{𦈢T} ⿻{𠂉下一}{𬼉下}
{𦣞中} {𦣞中}
{𦣻穿⺽} ⿱丆{%⺽1}目{%⺽2}
{𦮙下} ⿻⿻屮屮⿻巾巾
{𫜹交𰀁} ⿻{𫜹交丨}二
{𫞴上} {𫞴上}
{𫰗上} ⿻𰀃{丨丨}
{𬎾上平} ⿻{争下无钩}⺝
{𬎾下G} ⿻⺝丨
{𬎾下T} ⿻月丨
{𬞂中} {𬞂中}
{𬴘ㄇ换冖} ⿳{𠅙上}{耳下平}丨
{𬺷去一} {𬺷去一}
{𬺻去一} {𬺻去一}
{𬻞贯穿} ⿳{黽上}⿲{丨丨}匚{コ}一 ⿳ㄇ⿲卝匚{コ}一
{𬼽穿儿} ⿻𬼽儿
{𭆄中} {𭆄中}
{𭝠上} {𭝠上}
{𭾽上} {𭾽上}
{𮓙上} ⿻干尸
{𰀁先丨} {𰀁先丨}
{𰀂⺕} ⿰{⺽左}{反𰀂}
{𱍐K} ⿻𬼽{丿丨}
{𲅯中} ⿻口十
{𲞹K} ⿱丶{%干1}八{%干2}[GTHJ] ⿱丶平[K]
