U+2EA5 ⺥ {⺥K}
U+2034B 𠍋 ⿲亻⿱丶了𧈧
U+203DE 𠏞 ⿰亻⿻貢{戈去一}
U+20477 𠑷 ⿱上儿
U+20494 𠒔 ⿰⿻⿱一凵{冘下}⿻⿱一凵{冘下}
U+20503 𠔃 ⿻䒑㇉
U+20504 𠔄 ⿻䒑𠃊
U+20527 𠔧 ⿱{%土1}⺽{%土2}{ハ}[THJ] ⿱⿻十臼𬺢[GK]
U+20549 𠕉 ⿵⿱丶冂八
U+2054B 𠕋 ⿻冂{＃}[GJK] {𦉫交二}[TH]
U+20552 𠕒 ⿻冂{氺无钩}
U+20695 𠚕 𠚕
U+206A4 𠚤 ⿻⺈丶
U+206F2 𠛲 ⿰⿳亼{丱右}一刂
U+20721 𠜡 ⿱⿺交𠃊刀
U+2072B 𠜫 ⿰⿻⿱丿一{𰀪丨⺀}刂
U+20953 𠥓 匚
U+2099F 𠦟 ⿻𣄼山
U+209E5 𠧥 ⿰⿱二卜⿱二卜
U+20AB3 𠪳 ⿸厂⿱{覀下}⿻⺽{ℓ} ⿸厂⿱{覀下}⿻{ℓ}⺽
U+20AD4 𠫔 ⿻一厶
U+20B5D 𠭝 ⿸⿰尸⿱𠃊丆反[THGJK]
U+20C25 𠰥 ⿱䒑右
U+21174 𡅴 ⿱𠱠⿸厂⿰⿱乊古攴
U+211AA 𡆪 ⿵ㄇ龷
U+211B5 𡆵 ⿵ㄇ⿳⿰𠃎𠃊⿰𠃍{Γ}一
U+2123C 𡈼 ⿻丿土
U+213F3 𡏳 ⿳廿⿻口火土
U+214B4 𡒴 ⿱⿰⿸{段左去三}𢑑豕土
U+215D7 𡗗 ⿻三人
U+21811 𡠑 ⿰女⿻⿱𠮛{反𰀂}{木钩去一}
U+219B9 𡦹 ⿵⿱丶⺇{𡦹下}
U+21AD5 𡫕 ⿱宀⿻{反𰀂}鳥 ⿱宀⿸尹{鳥去丿}
U+21B1D 𡬝 ⿹⿻十亅丶 ⿹⿻一刂丶
U+21B4A 𡭊 ⿰⿳业䒑古寸
U+21B56 𡭖 ⿻了八
U+21BA1 𡮡 ⿳⿰小小⿶丨且儿[THJK] ⿱⿰小小𧠇[G]
U+21C23 𡰣 ⿻{コ}丿
U+21F54 𡽔 ⿱山⿵ㄇ⿻{仌仌}土
U+21FE6 𡿦 ⿱{横三撇}{横三点}
U+22004 𢀄 ⿰⿻丿击邕[THJK] ⿰⿻三山邕[THGJK]
U+22011 𢀑 ⿶丅{ユ}
U+22012 𢀒 ⿻工乚
U+22013 𢀓 ⿻丅⿱{𢀓中}一
U+22014 𢀔 ⿻工㇉
U+221AF 𢆯 ⿻幺丨
U+222A4 𢊤 ⿸广⿱罒⿺⿸{爰中}又丶
U+222E6 𢋦 ⿸广⿱{%土1}从{%土2}⿵ㄇ⿱{人丨人}一
U+22390 𢎐 ⿻⿸厂⿱二貝⿺㇂丶
U+2239D 𢎝 ⿻⼹㇉
U+223A3 𢎣 ⿻⿱丿弓丨
U+22457 𢑗 ⿱{互中}{%丆}氺[U] ⿳彑丿氺
U+225A9 𢖩 ⿺⿰丶乚丶
U+226C0 𢛀 ⿵⿰⿸{Γ}{コ}⿹𠃌匚心
U+2290F 𢤏 ⿳⿻⿱二ㄇ{丨丨}{⚋}患[GJK] ⿳一⿻卄⿰匚{コ}患[TH]
U+2298D 𢦍 ⿺⿻𫠠𰀪丶
U+2298F 𢦏 ⿻土{戈去一}
U+22990 𢦐 ⿻{反𰀂}{戈去一}
U+22991 𢦑 ⿺⿻𫠠彡丶
U+22992 𢦒 ⿻龶{戈去一}
U+229E0 𢧠 ⿻⿳旧一⺝{戈去一}[GJK] ⿰⿱{%𠃊1}日{%𠃊2}月戈[TH]
U+22A40 𢩀 ⿸户𮯱[G]
U+23030 𣀰 ⿰⿳米⿻⿻卄十卄𬺢攴
U+2316C 𣅬 ⿱日⿰⿶丿㇀{匕先乚}
U+232E4 𣋤 ⿱⿰⿶㐅{%工交1}凵{%工交2}⿶㐅{%工交1}凵{%工交2}日 ⿱⿰⿻凶工⿻凶工日
U+2335D 𣍝 {丿下⺝}[U] ⿻丿月
U+233B1 𣎱 ⿰月⿱昍⿸⿰广⿱𠃊丆矢
U+233B3 𣎳 ⿻十儿
U+233B4 𣎴 ⿻一{木去一}
U+233BA 𣎺 {%木交1}⿺乛㇉{%木交2}
U+233DF 𣏟 ⿰木𣎳[GJK] ⿰𣎳𣎳[TH]
U+23845 𣡅 ⿰木⿱⿻{𠂉下一}{𝍫}{%赢下框1}羊{%赢下框2}[THG]
U+238B4 𣢴 ⿰⿱{𠂉下一}廾欠
U+238C7 𣣇 ⿰⿱⺊{一下夫}欠
U+23900 𣤀 ⿰⿱{镸上}𦓐欠
U+2394B 𣥋 ⿱⿰⿸亻二丨𠄟[THJK] ⿳丿⿰{ㅑ}丨𠄟[G]
U+239B6 𣦶 ⿻一{𠃋㇇}
U+239C7 𣧇 ⿰歹⿻儿丶[THJK] ⿰歹{%丿乚1}丶{%丿乚2}[THJK] ⿲歹人乚[G]
U+23ADA 𣫚 ⿰⿳立龶𧰨殳[THJK] ⿰⿱𨐌豕殳[G]
U+23D92 𣶒 ⿻{𣶒去一}一
U+24041 𤁁 ⿰氵⿱⿲⿱亠㇉了⿱一攵牛
U+24199 𤆙 ⿹⿱ㄇ𠃌火
U+24330 𤌰 ⿰火⿱日⿻𰀆十
U+2443B 𤐻 ⿳𤇾人⿱⿻二{𝍫}一
U+244EF 𤓯 ⿻一{小无钩}
U+244F0 𤓰 ⿸⺁⿰𠄌㇏[GTH] ⿸⺁⿰{丨下㇀}㇏[JK]
U+24563 𤕣 ⿻⿵ㄇ{𬼆𬼆}七
U+2456B 𤕫 ⿶厂⿱𠃊丆
U+2464D 𤙍 ⿰牜⿻⿱凵几丨[THJK] ⿰牜⿻⿱凵{丿乁}丨[G]
U+24784 𤞄 ⿰犭⿱䒑⿻𠃊{冘下}
U+2478D 𤞍 ⿰犭⿻{反𰀂}山
U+248EB 𤣫 ⿻王㇉
U+249A1 𤦡 ⿱⿻玨{黽上}{ハ} ⿱⿻玨ㄇ⿰㇇⿱一丶
U+24C35 𤰵 ⿳田一亾[THJK] ⿱田{%匸1}人{%匸2}[G]
U+24CAF 𤲯 ⿱⿻{反𰀂}{二丨二}𲰶
U+24D13 𤴓 ⿻一龰
U+24F3E 𤼾 ⿻白乚
U+24F57 𤽗 ⿰白⿱上㇉[U] ⿰白𪟽[GV]
U+25149 𥅉 ⿳丿⺜目
U+2573B 𥜻 ⿻丿禸[TGJK] ⿻丿{禺下}[H]
U+2574C 𥝌 ⿻丿木
U+257C5 𥟅 ⿻千⿱臼{木去十}
U+258FE 𥣾 ⿰禾⿻⿻⿳丿䒑⺿十⿰夕又[THK] ⿰禾⿻⿻⿳丿䒑龷丨⿰夕又[GJ]
U+25908 𥤈 ⿰禾⿻釆⿱龷⿰夕又[THJK] ⿰禾⿳釆⿻龷丨⿰夕又[G]
U+25922 𥤢 ⿵𰃦儿[GJK] ⿵丶𦉪[TH]
U+25962 𥥢 ⿱穴⿻⿱一丄{虫去口}[G] ⿱{穴头T}⿻工{虫去口}[THJK]
U+259B4 𥦴 ⿳穴⿶丨且{ハ}[G]
U+25A90 𥪐 ⿱立⿲儿冫仌
U+25A91 𥪑 ⿱立⿲儿冫牛
U+25C46 𥱆 ⿱⺮⿳立厶土
U+25E28 𥸨 ⿹𠃍⿱米一
U+25F22 𥼢 ⿻⿳{䒑下ハ}艹{衰中}木[THGJK] ⿳米艹⿻{衰中}木[THGJK]
U+26233 𦈳 ⿱池⿻{𠂉下一}山[U] ⿱池缶
U+26316 𦌖 ⿱罒⿰⿱䒑⿻{𬺻去一}丶支[G] ⿱罒⿰⿱八⿻𬺻丶支[THJK]
U+2642F 𦐯 ⿱⿰𫜹𫜹⿵内二
U+264E4 𦓤 ⿻丿未
U+268DD 𦣝 {%匚1}{𦣝中}{%匚2}
U+268DE 𦣞 {%匚1}{𦣞中}{%匚2}
U+268FB 𦣻 ⿱丆目
U+2697C 𦥼 ⿳{黽上}⿻{丨丨}⺽乂[THJK] ⿳ㄇ⿻⿰𠃍{Γ}⺽乂[THJK] ⿳{黽上}⿻{丨丨}{黽外}乂[G]
U+269B4 𦦴 ⿳⿱{%𦥯去爻1}𭁟{%𦥯去爻2}一由{ハ}[THJK] ⿳⿱{%𦥯去爻1}{反𭁟}{%𦥯去爻2}一由{ハ}[G] ⿳⿱{%𦥯上框1}{骨上T}{%𦥯上框2}一由{ハ}[THJK] ⿳⿱{%𦥯上框1}{骨上G}{%𦥯上框2}一由{ハ}[G]
U+26FD0 𦿐 ⿱艹⿰⿱𣥂⿰丨{隹去亻}戈[THJK] ⿱艹𢧵[G]
U+2749F 𧒟 ⿳⿱丶{黽上}𠔀䖵 ⿳⿱丶ㄇ⿻⿰㇇⿱一㇏一䖵
U+274AB 𧒫 ⿰虫⿳宀⿻义{丶丶}用[TH] ⿰虫⿳宀⿻义{丶丶}{甬下}[GJK] ⿰虫⿳宀⿻乂𠁼用[TH] ⿰虫⿳宀⿻乂𠁼{甬下}[GJK]
U+274DF 𧓟 ⿱{%中乚1}{印左}{%中乚2}日{%中乚3}䖵[KGJ] ⿱⿻⺽⿺丨乚䖵[TH]
U+275D2 𧗒 ⿻⿰幺幺⿻⿱大血{戈去一}[GJK] ⿻⿰幺幺{%戈1}⿱人血{%戈2}[TH]
U+27635 𧘵 ⿰衤⿺⿻𠂇㇂丶
U+27889 𧢉 ⿰⿱𫜵⿰丨{隹去亻}見[U] ⿰⿱𫜵隹見
U+27C0D 𧰍 ⿱⿲儿丩{丱右}⿲夕豆又
U+27C28 𧰨 𧰨
U+27C32 𧰲 ⿳{互中}二𧰨
U+27C78 𧱸 ⿰豕⿸⺁⿱{コ中丨}目
U+27DA6 𧶦 ⿱⿻火从貝
U+27FCB 𧿋 ⿰⻊⿻匸丨
U+285E4 𨗤 {%辶1}⿳人{一下丗}方{%辶2}
U+290CA 𩃊 ⿳⻗⺈⿰⿹𠃍土乚[THGJK]
U+29167 𩅧 ⿳⻗{丿下罒}乑[U] ⿳⻗{丿下罒}⿰𰀪{𠂢下}[U] ⿱⻗衆
U+29B9F 𩮟 ⿱髟⿻二{%囗交1}⿻丨从{%囗交2}
U+29F8F 𩾏 ⿱丆{鳥去丿}
U+2A38E 𪎎 ⿺⿻三乂靣
U+2A4D1 𪓑 ⿻丿黽
U+2A4D5 𪓕 ⿱口{%中乚1}⿱又𰀄{%中乚2}⿱又日{%中乚3}[TH] ⿱口{%中乚1}⿱又{⺽左}{%中乚2}⿱又日{%中乚3}[GJK]
U+2A4DD 𪓝 ⿱丿⿻黽⿰𠂇又[GJK] ⿱丿⿻黽⿰丆又[TH]
U+2A66F 𪙯 ⿳亠⿸𠂇⿰{丨丨}{隹去亻}齒
U+2A6B4 𪚴 𪚴
U+2A70A 𪜊 ⿻丶㇇
U+2A959 𪥙 ⿰⿱⿻{𠂉下一}{𝍫}工天
U+2AB43 𪭃 ⿰忄⿸⿱一⿻{皮去又}{⚏}𰤷
U+2ABF6 𪯶 ⿰方⿱{𠂉下一}大
U+2AC00 𪰀 ⿰方⿳{𠂉下一}田卄
U+2AC1E 𪰞 ⿱日⿻⺿{𠄟交丨}[TH] ⿱日{畢下}[GJK]
U+2AC86 𪲆 ⿰木{%犮上1}⿺乚二{%犮上2}
U+2ADCE 𪷎 ⿰氵⿻貢{曳下}
U+2AF46 𪽆 ⿻丿𠂡
U+2B01D 𫀝 ⿳日⿵ㄇ龶示
U+2B741 𫝁 ⿻一⿻口{丿丨}
U+2B747 𫝇 ⿱亼⿻口卜
U+2B84B 𫡋 ⿰⿳{%丨丨穿1}二{%丨丨穿2}二{%丨丨穿3}一井丮
U+2B84F 𫡏 ⿻𠂉丿
U+2BA4F 𫩏 ⿵ㄇ丄
U+2BB52 𫭒 ⿵ㄇ⿳䒑{小无钩}⿵ㄇ⿱八𠀃{%囗2}[G] ⿵ㄇ⿳䒑{小无钩}⿵ㄇ⿱儿𠀃[THJK]
U+2BBDB 𫯛 ⿻丿大
U+2C002 𬀂 ⿰方⿱{𠂉下一}巾
U+2C09B 𬂛 十
U+2C145 𬅅 ⿰木⿳艹艹⿻䒑木
U+2C1A3 𬆣 ⿰⿸{段左去三}⿱{コ}二殳
U+2C516 𬔖 ⿻立㇉
U+2C5CB 𬗋 ⿻⿱止糸⿺㇂丶
U+2C655 𬙕 ⿻罒丄
U+2C6FB 𬛻 ⿱{%𦥯去爻1}丶{%𦥯去爻2}成 ⿱{%𦥯上框1}宀{%𦥯上框2}成
U+2C73A 𬜺 ⿱艹⿰纟⿹𠃍⿱{丨交丶}一 ⿱艹纽[G]
U+2CEB7 𬺷 ⿹⿸丆㇁丿
U+2CEB9 𬺹 ⿹𠃍三
U+2CEBB 𬺻 ⿸丆{豸下}
U+2CEBF 𬺿 ⿻𠮛卜
U+2CEC7 𬻇 ⿻一⿻口〢
U+2CEDC 𬻜 ⿳二卌𠄟[GJ] ⿳二{一交𝍬}𠄟[THK]
U+2CEDD 𬻝 ⿱⿻{𠂉下一}{𝍬}𠄟
U+2CEDE 𬻞 ⿱{黽上}{亞下} ⿳ㄇ⿰{弓无钩}⿱{一下𠃑}{Γ}一
U+2CEFA 𬻺 ⿻丶了
U+2CEFF 𬻿 ⿶丶乀
U+2CF00 𬼀 ⿶丶丿
U+2CF03 𬼃 ⿻丿九
U+2CF09 𬼉 ⿻⿱丿一{𬼉下}
U+2CF38 𬼸 ⿻丷亅
U+2CF3D 𬼽 ⿻二丨
U+2D017 𭀗 ⿶⿱𠃋丶{冘下}
U+2D018 𭀘 ⿶{纟上}{冘下}
U+2D01C 𭀜 ⿶⿱{纟上}丶{冘下}
U+2D044 𭁄 ⿻䒑{𠃋交丨}
U+2D048 𭁈 ⿱⿶〢{丿交土}{ハ}[J] ⿱⿶〢龶{ハ}[GV]
U+2D0AB 𭂫 ⿻丿凡
U+2D121 𭄡 ⿱⿻⿱十{丨丨}二力
U+2D425 𭐥 ⿳𠂉⿻{丨丨}三夊
U+2D56F 𭕯 ⿸尸⿱{%儿穿1}二{%儿穿2}二{%儿穿3}半[KGTHJ]
U+2D6A0 𭚠 ⿻⿸厂丶⿺㇂丶
U+2D6A5 𭚥 ⿻丶𠄎
U+2D7F9 𭟹 ⿻⿱䒑⿰{兆左}㠯{戈去一}[GJK] ⿻⿱䒑⿰{兆左}{㠯G}{戈去一}[TH]
U+2D80D 𭠍 ⿻𫠠丿
U+2D820 𭠠 ⿰{⺶去丷}⿻三卜
U+2D8BE 𭢾 ⿰扌{%辶1}⿸⿱一⿻{皮去又}二{勿交㇏}{%辶2}[JK] ⿰扌{%辶1}𠁅{%辶2}[G]
U+2D93B 𭤻 ⿰方⿱{𠂉下一}⿻一止
U+2DA80 𭪀 ⿻𰀆米
U+2DAC8 𭫈 ⿻⿳一丛从{木去一}
U+2DAD8 𭫘 ⿻⿳一丛从木
