U+8F66 车 ⿻{东上}十
U+9149 酉 ⿱一{%囗1}⿱儿一{%囗2}
U+91C6 釆 ⿱丿米
U+91D1 金 ⿱人{釜下}
U+91D2 釒 ⿱人{釜下}
U+9485 钅 ⿳𠂉一{切左}
U+9577 長 ⿱{镸上}{𧘇下}
U+9578 镸 ⿱{镸上}厶
U+957F 长 ⿸⿺丿{切左}㇏
U+9580 門 ⿰𠁣𠃛
U+95E8 门 ⿰⿱丶丨𠃌
U+961D 阝 ⿰㇌丨
U+96B9 隹 ⿰亻{隹去亻}
U+96E8 雨 ⿵帀{⺀⺀}[GJK] {雨T}[THV]
U+9769 革 ⿱廿{革下}
U+97E6 韦 ⿻⿱二𠃌丨
U+98DB 飛 ⿹飞⿱丿⿻{丿交飞}丨
U+98DF 食 ⿱亽艮[GJ] ⿱亼艮[THKV]
U+98E0 飠 ⿱亽{即左}[GJVU] ⿱亼{即左}[THK]
U+9963 饣 ⿱⺈𠄌
U+99AC 馬 ⿹{馬上}灬
U+9A6C 马 ⿹{马上}一
U+9B25 鬥 ⿲𩰋王亅
U+9B3C 鬼 ⿺{鬼去厶}厶
U+9B5A 魚 ⿱{鱼上}灬
U+9C7C 鱼 ⿱{鱼上}一
U+9CE5 鳥 ⿹{鳥上}灬
U+9E1F 鸟 ⿹{鸟上}一
U+9E7F 鹿 ⿸{鹿上}比
U+9FB0 龰 ⿺⺊人
U+9FB4 龴 ⿱㇇丶
U+9FB5 龵 ⿱丿{𰀁歪}
U+9FB6 龶 ⿱𰀁一
U+9FB7 龷 ⿱卄一
U+9FB9 龹 ⿻丷夫
U+FAC9 韛 ⿰⿳𫝀口⿻{旡去儿}丨⿱龷⿸丿{甬下}[K]
U+1877B 𘝻 ⿳𠃍丆𘉋
U+18808 𘠈 {乚形} {卬左}
U+18809 𘠉 𡿨 {𰀠右}
U+18812 𘠒 ㄇ
U+18813 𘠓 ⿰丨㇈
U+18814 𘠔 ⿰丨㇈
U+18824 𘠤 ⿱{乚形}{乙形} ⿳{卬左}㇇𠄌
U+18832 𘠲 ⿻十㇀
U+1883C 𘠼 ⿻𘠒丨
U+1884C 𘡌 ⿻𘠚丨
U+18852 𘡒 ⿱{コ}{乙形} ⿳{コ}㇇𠄌
U+1885E 𘡞 ⿺{𠤎先乚}丶
U+18879 𘡹 ⿵𘠒二
U+188A9 𘢩 ⿻⿱𘠚丿丨
U+188C4 𘣄 ⿻㇌⿰㐅𡿨 ⿻了⿰㐅{𰀠右}
U+188CF 𘣏 ⿻二𘠼
U+18AB8 𘪸 ⿳{コ}丿𘉋
U+18B18 𘬘 ⿻帀一
U+18B37 𘬷 ⿸⿺丿十丶
U+18B49 𘭉 ⿱⿻十八一
U+18BD9 𘯙 ⿹⿸丿𠃍⿺乚二
U+18BF5 𘯵 ⿵乃丶
U+2000E 𠀎 ⿱{＃}一
U+20071 𠁱 ⿻⿻𠮛十⿱{㇇く}一
U+2007C 𠁼 ⿱丶{丶丶}
U+2007D 𠁽 ⿵{㇈中丿}丶
U+20087 𠂇 ⿻一丿
U+20088 𠂈 ⿶𠄌丿
U+20089 𠂉 ⿰丿一
U+2008A 𠂊 ⿶丿㇇
U+200DC 𠃜 ⿰{コ中丨}丿
U+200E0 𠃠 ⿻{反𰀂}⺀ {%コ1}{÷}{%コ2}
U+200E4 𠃤 ⿱{𠂩左G}𫶧[G] ⿳丿{㇄中一}𫶧[TH] ⿱{⺽左}𫶧[JK]
U+2010F 𠄏 了
U+20113 𠄓 ⿲丿𠄌⿻㇏丨
U+2011E 𠄞 ⿱一一
U+2011F 𠄟 ⿱一一
U+20120 𠄠 ⿱一一
U+201A2 𠆢 ⿰丿㇏
U+20494 𠒔 ⿰⿻⿱一凵{冘下}⿻⿱一凵{冘下}
U+20562 𠕢 ⿻ㄇ⿱儿⿻{巾无钩}{＃}[THJK] ⿻ㄇ⿱八⿻{巾无钩}{＃}[G]
U+20627 𠘧 ⿰丿㇍
U+20639 𠘹 ⿵⿱丨⺇三 ⿵⿱丶⺇三
U+20674 𠙴 ⿺𠃋㇏
U+2090E 𠤎 ⿻丿乚
U+20953 𠥓 ⿴⿺⿱{コ}𠃑𠃊⿳⿰丶丨一⿰丿丨
U+20A50 𠩐 ⿸厂⿸⿱一𠄌⿱二{𰀠右}
U+215D7 𡗗 ⿻三人
U+21811 𡠑 ⿰女⿻⿱𠮛{反𰀂}{木钩去一}
U+21987 𡦇 ⿰⿱子日⿱𠂉⿵{⺆无钩}二[THJK] ⿰⿱子日⿱𠂉⺝[G]
U+21B1D 𡬝 ⿹⿻十亅丶
U+21B54 𡭔 ⿻丨{ハ}
